epoch: 340	 loss: -301.49017	 return: -100.00425372587858	 episode_length: 13.9
epoch: 341	 loss: -320.60605	 return: -104.6560553012287	 episode_length: 14.14
epoch: 342	 loss: -317.81787	 return: -104.03962148205102	 episode_length: 14.0
epoch: 343	 loss: -313.47638	 return: -100.56326919109401	 episode_length: 14.38
epoch: 344	 loss: -307.12225	 return: -99.75671586001155	 episode_length: 13.4
epoch: 345	 loss: -315.5211	 return: -103.34121205470336	 episode_length: 12.84
epoch: 346	 loss: -305.88467	 return: -99.2634361404854	 episode_length: 13.1
epoch: 347	 loss: -316.3443	 return: -103.70056635906279	 episode_length: 13.86
epoch: 348	 loss: -312.88217	 return: -103.29697293160382	 episode_length: 12.94
epoch: 349	 loss: -305.2175	 return: -99.45651678422017	 episode_length: 13.54
